gid,name,province,DOMAIN,local_name,LAT,LONG
5009237,Baleendah,Jawa Barat,Jawa Barat,Kab. Bandung,-7.011,107.624
5009238,Balongan,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.384,108.341
5009239,Bandung Kidul,Jawa Barat,Jawa Barat,Kota Bandung,-6.955,107.612
5009240,Bandung Kulon,Jawa Barat,Jawa Barat,Kota Bandung,-6.931,107.546
5009241,Bandung Wetan,Jawa Barat,Jawa Barat,Kota Bandung,-6.905,107.609
5009242,Bangodua,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.516,108.25
5009243,Banjar,Jawa Barat,Jawa Barat,Kota Banjar,-7.372,108.501
5009244,Banjaran,Jawa Barat,Jawa Barat,Kab. Bandung,-7.076,107.594
5009245,Banjaran,Jawa Barat,Jawa Barat,Kab. Majalengka,-6.956,108.305
5009246,Banjarsari,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.496,108.579
5009247,Banjarwangi,Jawa Barat,Jawa Barat,Kab. Garut,-7.4,107.81
5009248,Bantar Gebang,Jawa Barat,Jawa Barat,Kota Bekasi,-6.33,106.980962
5009249,Bantargadung,Jawa Barat,Jawa Barat,Kab. Sukabumi,-7.041,106.657
5009250,Bantarkalong,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.579,108.001
5009251,Bantarujeg,Jawa Barat,Jawa Barat,Kab. Majalengka,-6.973,108.177
5009252,Banyuresmi,Jawa Barat,Jawa Barat,Kab. Garut,-7.17,107.946
5009253,Banyusari,Jawa Barat,Jawa Barat,Kab. Karawang,-6.288,107.528
5009254,Baregbeg,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.294,108.343
5009255,Baros,Jawa Barat,Jawa Barat,Kota Sukabumi,-6.95,106.92
5009256,Batujajar,Jawa Barat,Jawa Barat,Kab. Bandung Barat,-6.88,107.427
5009257,Batujaya,Jawa Barat,Jawa Barat,Kab. Karawang,-6.10142,107.21761
5009258,Batununggal,Jawa Barat,Jawa Barat,Kota Bandung,-6.951,107.637
5009259,Bayongbong,Jawa Barat,Jawa Barat,Kab. Garut,-7.276,107.808
5009260,Beber,Jawa Barat,Jawa Barat,Kab. Cirebon,-6.816,108.507
5009261,Beji,Jawa Barat,Jawa Barat,Kota Depok,-6.38,106.806
5009262,Bekasi Barat,Jawa Barat,Jawa Barat,Kota Bekasi,-6.234,106.973
5009263,Bekasi Selatan,Jawa Barat,Jawa Barat,Kota Bekasi,-6.247,106.991
5009264,Bekasi Timur,Jawa Barat,Jawa Barat,Kota Bekasi,-6.245,107.014
5009265,Bekasi Utara,Jawa Barat,Jawa Barat,Kota Bekasi,-6.205,106.999
